student_id,semester,attendance_pct,internal_pct,practical_pct,assignments_submitted,previous_sgpa,backlog_count,average_marks,consistency,improvement_rate,final_percentage,at_risk
SYN0021,2,71.51,47.25,31.72,7,6.0,0,33.61,10.44,-24.97,28.92,1
SYN0022,5,59.55,36.99,52.34,5,6.0,0,47.55,7.48,-2.41,49.86,0
SYN0023,5,80.46,65.13,67.47,9,5.0,0,71.55,7.49,26.61,75.75,0
SYN0024,5,70.36,45.0,31.03,5,6.0,0,44.69,11.02,-7.23,50.02,0
SYN0025,5,71.42,46.43,45.58,6,5.0,0,42.31,5.23,-0.74,39.36,1
SYN0026,7,63.58,67.64,50.65,3,0.0,1,58.11,7.09,32.84,57.28,0
SYN0027,4,85.41,55.61,61.95,7,0.0,0,62.21,5.5,25.6,64.96,0
SYN0028,3,63.82,59.85,56.05,6,7.0,0,64.02,8.72,3.7,68.87,0
SYN0029,5,74.65,53.84,57.8,7,8.0,0,52.23,5.32,-25.9,49.37,0
SYN0030,7,98.16,57.09,70.99,7,0.0,0,60.6,7.47,28.26,57.85,0
SYN0031,4,94.58,72.82,86.06,7,7.0,0,81.93,6.45,17.96,83.92,0
SYN0032,2,78.97,52.78,14.54,3,0.0,0,38.23,16.9,10.81,41.89,0
SYN0033,8,65.8,58.94,41.48,4,8.0,0,43.75,11.59,-34.13,38.58,1
SYN0034,3,67.06,60.86,40.03,5,0.0,0,49.34,8.65,10.6,48.45,0
SYN0035,6,76.2,61.21,37.43,7,7.0,0,55.02,12.62,-1.76,59.58,0
SYN0036,7,80.51,68.93,63.08,5,7.0,0,66.07,2.39,3.73,66.12,0
SYN0037,3,62.1,39.6,62.85,4,5.0,0,51.81,9.53,9.3,52.28,0
SYN0038,4,65.44,43.26,29.61,3,6.0,2,36.97,5.62,-14.85,37.41,1
SYN0039,3,54.06,53.69,45.43,4,8.0,1,53.31,6.29,-20.61,56.32,0
SYN0040,3,83.06,67.11,46.99,5,7.0,0,53.9,9.34,-15.15,51.38,0
SYN0041,3,87.8,61.45,50.64,5,6.0,0,54.96,4.67,1.23,54.09,0
SYN0042,3,79.25,66.28,72.2,5,8.0,0,65.55,5.75,-10.05,62.59,0
SYN0043,5,60.8,50.72,37.41,5,5.0,0,47.69,7.47,9.84,50.59,0
SYN0044,5,76.8,66.43,57.8,4,0.0,0,53.02,13.34,15.33,45.74,0
SYN0045,2,68.74,56.21,30.93,6,8.0,0,41.0,10.94,-33.17,38.95,1
SYN0046,7,80.99,50.74,73.06,7,8.0,0,50.48,18.55,-32.27,41.34,0
SYN0047,6,62.88,63.92,65.99,5,9.0,0,64.1,1.48,-26.53,63.41,0
SYN0048,2,69.6,25.04,50.62,6,5.0,0,38.43,10.48,-5.12,38.92,1
SYN0049,7,59.44,62.55,63.69,8,6.0,0,60.3,4.02,3.44,58.04,0
SYN0050,2,57.55,16.36,35.49,5,6.0,0,37.59,18.25,-12.55,46.92,0
SYN0051,5,85.58,37.74,66.31,5,6.0,0,50.23,11.94,-7.94,48.79,0
SYN0052,5,84.92,62.78,53.3,8,5.0,0,59.39,4.31,11.46,60.47,0
SYN0053,5,48.67,42.99,32.9,3,0.0,1,35.34,5.53,33.25,33.25,1
SYN0054,8,53.45,37.51,41.57,7,5.0,0,45.16,8.12,3.24,49.66,0
SYN0055,8,38.73,40.56,39.02,5,7.0,0,43.87,5.8,-13.88,47.14,0
SYN0056,3,58.76,59.77,51.3,4,0.0,1,48.64,10.35,16.62,43.12,0
SYN0057,6,89.22,44.72,50.25,6,7.0,0,46.99,2.36,-20.88,46.6,0
SYN0058,8,89.76,88.98,73.02,8,8.0,0,81.67,6.59,8.7,82.2,0
SYN0059,7,56.26,43.87,41.2,6,6.0,0,43.76,2.05,-13.11,44.75,0
SYN0060,8,84.56,65.58,66.02,6,8.0,0,58.85,9.82,-21.86,53.29,0
SYN0061,5,38.75,52.21,28.19,3,0.0,2,40.08,9.81,12.05,39.98,1
SYN0062,3,64.14,50.3,71.34,5,0.0,0,51.67,15.53,14.61,44.36,0
SYN0063,5,72.89,43.74,34.75,7,6.0,0,50.1,15.79,3.53,58.79,0
SYN0064,7,75.62,56.73,70.27,5,7.0,0,66.28,6.78,-1.03,68.51,0
SYN0065,8,84.81,58.67,72.74,8,6.0,0,65.07,5.81,8.06,64.57,0
SYN0066,6,81.65,46.17,49.18,7,6.0,0,52.8,7.36,2.02,56.91,0
SYN0067,6,72.69,46.29,71.2,3,0.0,0,54.03,12.16,26.53,50.26,0
SYN0068,5,59.3,40.34,56.44,6,7.0,0,50.52,7.23,-17.19,52.22,0
SYN0069,4,87.3,69.68,69.91,10,9.0,0,65.52,6.04,-23.01,62.1,0
SYN0070,4,82.97,50.71,48.62,7,6.0,0,50.53,1.49,-5.59,51.23,0
SYN0071,5,48.3,37.13,34.64,6,6.0,2,39.77,5.58,-7.45,42.87,0
SYN0072,7,50.52,40.26,36.21,4,6.0,1,35.69,3.96,-18.72,33.65,1
SYN0073,5,72.76,45.6,45.03,2,5.0,3,41.03,6.07,-6.78,37.6,1
SYN0074,7,73.75,63.14,70.88,4,6.0,0,58.65,12.23,-3.6,51.97,0
SYN0075,2,84.42,43.57,53.78,6,0.0,0,45.57,6.05,9.31,43.09,0
SYN0076,7,73.5,48.41,47.46,6,10.0,0,43.96,5.63,-53.72,40.78,0
SYN0077,5,78.95,59.15,54.93,4,0.0,0,56.64,1.81,16.6,56.33,0
SYN0078,8,73.13,49.6,62.08,6,6.0,0,62.87,11.17,11.83,68.49,0
SYN0079,5,79.13,44.04,64.01,7,7.0,0,61.86,13.76,2.52,68.13,0
SYN0080,5,81.17,53.67,55.28,3,5.0,0,45.2,13.13,-3.88,37.78,1
SYN0081,2,71.79,61.22,52.07,6,7.0,0,59.9,5.93,-7.12,62.5,0
SYN0082,7,54.95,30.54,33.2,7,0.0,1,41.93,14.27,23.66,49.97,0
SYN0083,6,62.49,51.01,36.97,4,6.0,0,43.06,5.88,-12.4,42.32,0
SYN0084,8,70.4,55.89,28.34,6,6.0,2,44.16,11.61,-13.72,45.79,0
SYN0085,2,43.77,44.46,40.47,3,0.0,0,31.99,14.9,-15.2,23.62,1
SYN0086,3,81.1,63.19,54.45,7,6.0,0,59.48,3.69,1.03,60.02,0
SYN0087,8,60.57,33.65,40.58,6,7.0,0,35.42,3.7,-28.53,34.07,1
SYN0088,2,80.76,55.63,17.92,7,6.0,0,42.6,17.46,-8.72,47.26,0
SYN0089,5,53.75,53.79,41.58,7,6.0,0,44.11,7.1,-15.39,41.26,0
SYN0090,4,67.86,51.66,67.27,5,6.0,0,60.95,6.71,5.61,62.14,0
SYN0091,8,62.04,67.29,49.91,8,9.0,0,63.34,9.76,-19.0,67.12,0
SYN0092,7,61.84,66.05,53.24,4,5.0,0,53.14,10.58,0.06,47.94,0
SYN0093,8,68.13,66.08,30.6,5,0.0,0,42.77,16.49,13.66,38.32,1
SYN0094,4,67.86,64.58,65.3,6,5.0,0,50.8,20.0,-3.74,39.48,1
SYN0095,6,50.47,34.9,31.17,4,5.0,1,31.29,2.91,-19.44,29.89,1
SYN0096,6,53.82,41.83,38.44,4,0.0,0,35.62,6.54,-4.42,32.0,1
SYN0097,8,58.37,47.17,62.13,3,5.0,0,41.59,19.45,-10.15,31.14,1
SYN0098,2,50.85,43.84,56.61,2,0.0,0,48.62,5.68,15.05,47.34,0
SYN0099,8,80.82,57.35,51.09,7,8.0,0,52.96,3.11,-20.24,51.95,0
SYN0100,4,66.85,51.74,34.36,5,0.0,0,37.58,10.5,-4.2,33.21,1
SYN0101,2,69.83,47.98,42.79,7,5.0,0,43.51,3.4,-5.76,42.0,0
SYN0102,6,88.82,57.38,69.42,7,9.0,0,69.27,9.65,-8.49,73.97,0
SYN0103,7,69.26,44.64,45.44,3,6.0,0,48.38,4.74,-6.44,51.05,0
SYN0104,2,96.29,65.62,53.62,8,5.0,0,59.3,4.92,9.29,59.04,0
SYN0105,2,59.81,43.27,56.73,4,0.0,1,49.45,5.55,26.09,49.01,0
SYN0106,8,65.4,53.63,46.91,6,0.0,0,44.83,8.17,3.25,40.47,0
SYN0107,8,53.64,49.78,65.72,3,7.0,1,52.01,10.41,-14.3,47.41,0
SYN0108,3,57.48,45.2,47.77,7,0.0,0,47.44,1.71,21.81,48.2,0
SYN0109,8,67.84,67.83,78.68,6,8.0,0,67.33,9.48,-9.59,62.59,0
SYN0110,8,44.34,39.41,36.27,3,0.0,1,37.37,1.44,13.3,36.99,1
SYN0111,8,74.18,44.02,65.41,6,6.0,0,52.0,9.54,-8.69,49.83,0
SYN0112,3,75.78,68.91,44.8,5,5.0,0,58.23,10.03,15.34,59.33,0
SYN0113,6,64.58,41.49,34.73,5,0.0,1,42.59,6.91,8.96,46.17,0
SYN0114,8,48.37,21.77,40.32,6,0.0,1,20.69,16.48,-18.2,12.42,1
SYN0115,8,79.15,42.44,61.92,5,7.0,0,57.4,10.85,-6.06,61.58,0
SYN0116,6,71.45,36.91,45.24,5,5.0,0,29.22,17.1,-27.86,19.74,1
SYN0117,3,71.28,54.96,38.57,2,5.0,0,46.6,6.69,3.02,46.48,0
SYN0118,2,64.65,49.67,35.56,6,6.0,0,50.11,12.06,-2.69,56.1,0
SYN0119,3,91.89,64.21,51.26,7,8.0,0,60.69,6.74,-11.41,63.05,0
SYN0120,2,69.5,56.1,28.37,4,7.0,0,38.01,12.8,-28.85,34.63,1
SYN0121,3,46.62,45.77,40.86,6,0.0,0,37.21,8.86,18.2,32.33,1
SYN0122,2,71.55,57.08,64.54,5,6.0,0,62.87,4.22,8.71,64.52,0
SYN0123,7,74.95,58.41,52.44,6,7.0,0,46.67,12.62,-21.89,39.67,1
SYN0124,6,76.34,71.41,39.57,7,7.0,0,64.49,18.19,6.7,71.69,0
SYN0125,5,80.69,39.14,56.89,4,6.0,0,52.28,9.43,-3.81,55.69,0
SYN0126,7,60.92,51.98,52.22,5,0.0,0,48.16,5.57,5.26,45.01,0
SYN0127,4,97.54,44.45,88.57,9,10.0,0,64.83,18.17,-30.7,63.49,0
SYN0128,4,69.17,41.15,21.91,1,6.0,0,29.02,8.62,-29.11,27.02,1
SYN0129,3,61.37,46.01,39.35,4,0.0,1,46.82,6.45,26.01,50.12,0
SYN0130,5,63.93,53.76,59.43,4,7.0,1,54.36,3.91,-17.21,52.58,0
SYN0131,3,44.56,60.33,51.2,7,0.0,0,45.33,15.22,2.79,36.99,1
SYN0132,6,45.58,41.01,42.18,5,6.0,2,37.64,5.61,-17.01,34.48,1
SYN0133,8,74.26,53.29,58.17,6,7.0,0,53.12,4.19,-10.54,51.03,0
SYN0134,5,58.34,54.92,51.62,7,0.0,0,57.4,5.99,26.92,60.7,0
SYN0135,4,61.43,32.8,43.56,2,5.0,0,30.89,11.21,-18.82,25.05,1
SYN0136,6,77.71,42.44,30.83,5,0.0,0,44.48,12.06,16.41,50.75,0
SYN0137,7,62.97,65.07,63.22,4,6.0,0,61.04,4.46,6.3,58.56,0
SYN0138,5,71.48,54.67,43.91,8,7.0,0,48.34,4.59,-20.75,47.59,0
SYN0139,3,93.19,79.43,74.68,8,10.0,0,73.59,5.27,-23.55,70.81,0
SYN0140,6,100.0,81.77,76.97,8,9.0,0,76.11,5.02,-7.13,73.5,0
SYN0141,3,63.61,46.63,47.83,6,5.0,0,44.79,3.49,0.14,42.83,0
SYN0142,8,62.25,52.44,39.76,5,6.0,0,44.35,5.74,-14.06,42.95,0
SYN0143,4,64.52,38.72,21.28,2,0.0,3,23.32,11.83,-5.24,17.97,1
SYN0144,4,58.22,55.79,41.3,7,7.0,0,41.15,12.01,-30.11,35.24,1
SYN0145,7,50.32,36.77,37.96,4,0.0,0,37.18,0.55,8.59,37.03,1
SYN0146,2,62.17,39.62,33.84,6,0.0,0,32.18,6.85,1.53,28.54,1
SYN0147,3,59.25,40.95,47.48,5,0.0,0,40.94,5.35,3.62,38.31,1
SYN0148,2,76.15,56.27,36.18,5,5.0,0,43.48,9.07,0.03,41.29,0
SYN0149,4,83.56,52.88,69.22,7,7.0,0,58.35,7.68,-13.66,56.2,0
SYN0150,5,55.96,58.08,38.94,6,7.0,0,58.81,16.53,-1.59,67.04,0
SYN0151,3,73.29,38.26,42.42,6,5.0,0,43.67,5.01,1.27,46.33,0
SYN0152,4,54.33,40.22,32.66,7,7.0,1,38.38,4.13,-22.19,39.93,1
SYN0153,7,64.35,37.22,47.46,4,5.0,1,31.0,16.58,-27.59,21.92,1
SYN0154,8,59.59,71.98,48.88,6,5.0,0,52.67,14.47,2.07,46.47,0
SYN0155,2,64.01,37.91,47.41,10,0.0,0,46.33,6.47,13.46,49.26,0
SYN0156,6,93.56,83.89,74.17,9,9.0,1,72.49,10.07,-14.48,67.25,0
SYN0157,2,78.52,54.95,28.48,6,6.0,0,49.43,15.36,1.53,55.61,0
SYN0158,5,84.55,65.75,60.05,8,7.0,0,57.82,7.55,-8.93,53.75,0
SYN0159,8,49.94,48.59,67.08,4,0.0,0,52.49,10.69,21.01,48.21,0
SYN0160,7,62.82,45.27,39.43,3,0.0,0,38.12,6.44,11.35,34.74,1
SYN0161,3,50.95,41.4,41.01,4,0.0,2,41.49,0.43,24.82,41.71,0
SYN0162,3,64.88,59.78,48.79,5,6.0,0,47.68,10.36,-17.45,42.4,0
SYN0163,7,79.62,68.07,82.29,8,6.0,0,74.63,5.86,16.76,74.18,0
SYN0164,7,65.77,55.64,19.79,5,7.0,0,38.0,14.64,-31.48,38.23,1
SYN0165,3,71.76,53.81,40.51,8,6.0,0,48.78,5.89,-5.12,50.07,0
SYN0166,2,49.37,42.93,43.22,5,0.0,2,44.37,1.84,11.69,45.41,0
SYN0167,5,86.41,50.42,52.12,7,7.0,0,56.11,6.87,-4.35,59.98,0
SYN0168,6,76.48,60.45,68.74,5,8.0,0,61.38,5.66,-11.86,58.82,0
SYN0169,5,63.15,65.15,45.2,7,6.0,0,51.46,9.69,-5.61,48.48,0
SYN0170,8,82.94,51.04,28.6,7,5.0,0,47.0,13.68,8.83,52.75,0
SYN0171,7,59.52,43.95,29.54,3,0.0,1,38.02,6.15,28.69,39.04,1
SYN0172,7,75.23,45.34,24.69,6,5.0,0,40.96,11.91,-1.31,45.73,0
SYN0173,2,67.99,45.54,42.99,5,5.0,0,45.31,1.81,3.69,46.15,0
SYN0174,7,51.98,24.51,35.48,5,0.0,0,39.61,14.32,35.87,47.31,0
SYN0175,7,61.25,30.8,32.34,5,0.0,0,27.29,6.08,-14.3,23.87,1
SYN0176,4,67.29,56.12,63.96,6,0.0,0,61.22,3.61,28.7,62.16,0
SYN0177,6,83.02,80.55,79.91,9,7.0,0,68.76,16.21,-4.54,59.59,0
SYN0178,7,84.23,81.83,50.09,6,5.0,0,62.72,13.74,16.62,60.13,0
SYN0179,8,59.7,45.2,25.58,5,0.0,0,47.11,18.41,16.49,56.49,0
SYN0180,5,51.56,69.3,60.06,6,8.0,0,63.55,4.1,-7.98,62.64,0
SYN0181,2,98.38,67.18,69.99,7,7.0,0,68.85,1.21,7.36,69.07,0
SYN0182,6,95.53,52.79,55.98,6,8.0,0,51.88,3.79,-21.16,49.86,0
SYN0183,6,62.38,52.58,56.82,3,5.0,1,52.13,4.03,0.57,50.06,0
SYN0184,2,64.37,63.44,48.99,7,8.0,0,57.98,6.4,-19.69,59.39,0
SYN0185,7,71.96,57.42,76.86,6,6.0,0,60.23,12.58,-0.46,54.71,0
SYN0186,3,83.7,62.86,55.72,7,7.0,0,61.58,4.36,-4.41,63.41,0
SYN0187,8,70.5,39.98,60.45,6,6.0,0,52.23,8.83,-0.09,53.85,0
SYN0188,5,47.55,25.01,19.0,4,5.0,0,23.62,3.34,-15.26,24.9,1
SYN0189,4,61.29,45.6,25.84,2,0.0,1,32.01,9.62,-7.24,29.05,1
SYN0190,2,92.19,65.28,84.15,6,7.0,0,67.69,12.58,-4.48,62.06,0
SYN0191,2,74.78,62.79,65.36,8,7.0,0,68.47,6.31,9.2,71.99,0
SYN0192,7,74.73,50.56,57.67,6,6.0,0,54.89,3.1,-2.32,55.51,0
SYN0193,4,84.79,56.47,48.92,7,0.0,0,51.77,3.35,11.09,51.03,0
SYN0194,7,87.05,68.03,64.34,9,7.0,0,71.32,7.41,9.91,75.43,0
SYN0195,3,55.75,35.01,53.79,2,0.0,1,42.72,8.03,6.19,41.37,0
SYN0196,8,59.72,55.87,38.39,4,5.0,1,46.71,7.16,4.51,46.37,0
SYN0197,8,82.53,74.17,37.4,7,7.0,0,58.25,15.41,-8.49,60.22,0
SYN0198,2,50.62,53.36,37.36,5,5.0,0,45.43,6.53,0.53,45.49,0
SYN0199,6,71.73,61.89,56.31,6,5.0,0,54.25,7.23,4.66,50.36,0
SYN0200,8,65.09,63.05,52.95,4,7.0,0,64.77,10.43,6.03,70.19,0
SYN0201,4,90.44,66.74,36.57,6,5.0,0,51.0,12.35,4.86,50.47,0
SYN0202,2,83.37,71.85,56.97,8,5.0,0,62.85,6.46,12.51,61.6,0
SYN0203,8,86.25,59.05,44.84,7,7.0,0,54.04,6.51,-12.37,55.72,0
SYN0204,5,67.06,63.58,52.98,5,5.0,0,59.69,4.76,12.99,60.81,0
SYN0205,2,54.26,21.54,13.84,2,0.0,0,14.67,5.3,-7.27,12.26,1
SYN0206,7,72.67,58.74,42.88,2,6.0,0,55.71,9.48,7.68,59.63,0
SYN0207,6,53.71,30.55,33.52,4,7.0,0,34.74,4.02,-24.16,36.91,1
SYN0208,2,59.22,32.55,46.11,3,0.0,0,33.7,9.7,-4.3,29.19,1
SYN0209,3,72.08,56.81,50.07,3,0.0,1,54.43,3.09,39.7,55.22,0
SYN0210,2,63.91,57.39,45.22,5,5.0,0,52.75,5.37,11.38,53.9,0
SYN0211,8,64.6,75.87,55.51,7,5.0,0,59.14,12.44,4.8,53.91,0
SYN0212,2,56.35,36.75,38.04,1,6.0,0,44.49,10.05,-0.19,50.17,0
SYN0213,7,62.5,40.97,41.64,6,6.0,0,47.68,9.02,1.85,52.78,0
SYN0214,5,62.18,45.15,32.65,4,0.0,0,41.12,5.99,31.15,42.89,0
SYN0215,6,66.16,50.07,36.55,6,5.0,0,51.62,12.98,10.63,58.27,0
SYN0216,7,65.38,62.62,53.75,5,9.0,0,60.66,5.04,-19.59,62.63,0
SYN0217,8,61.36,68.7,43.1,6,8.0,0,56.46,10.48,-17.31,56.92,0
SYN0218,2,88.55,61.43,65.99,7,10.0,0,62.13,2.91,-36.6,60.86,0
SYN0219,2,63.99,54.24,56.72,6,5.0,0,56.06,1.3,15.14,56.52,0
SYN0220,2,39.98,35.63,25.6,5,6.0,0,36.86,9.73,-12.34,41.85,0
SYN0221,6,75.04,54.55,48.25,5,0.0,0,50.6,2.81,12.58,49.96,0
SYN0222,5,75.27,54.56,50.4,4,6.0,0,49.7,4.28,-7.02,47.48,0
SYN0223,2,65.71,46.4,55.89,4,5.0,0,52.53,4.35,13.33,53.64,0
SYN0224,3,47.17,39.43,38.88,3,0.0,1,38.63,0.78,3.95,38.21,1
SYN0225,5,78.76,51.23,35.25,6,0.0,0,40.58,7.53,-0.58,38.45,1
SYN0226,7,75.82,51.69,38.79,5,7.0,0,41.86,7.11,-26.08,39.16,1
SYN0227,4,100.0,92.71,75.32,10,8.0,0,85.13,7.27,8.6,86.02,0
SYN0228,8,93.6,69.23,81.14,8,8.0,0,63.52,17.19,-24.42,54.19,0
SYN0229,8,64.92,41.57,17.07,3,0.0,0,34.19,12.14,8.46,38.09,1
SYN0230,7,65.81,28.47,51.11,5,5.0,0,40.47,9.3,-1.61,41.02,0
SYN0231,5,62.43,29.21,48.17,4,0.0,0,42.77,9.66,10.16,46.04,0
SYN0232,8,69.78,43.9,42.47,5,5.0,0,41.46,2.51,-9.49,40.07,0
SYN0233,7,84.85,48.37,59.63,8,8.0,0,57.29,6.54,-10.81,59.92,0
SYN0234,5,78.15,77.59,55.11,6,8.0,0,64.5,9.54,-15.4,63.03,0
SYN0235,5,58.8,43.55,41.4,4,0.0,0,43.06,1.2,10.44,43.53,0
SYN0236,7,59.18,58.8,25.67,5,0.0,0,45.9,14.49,38.74,48.83,0
SYN0237,5,55.09,32.2,2.18,2,0.0,0,18.03,12.31,13.54,18.71,1
SYN0238,3,82.09,51.01,58.98,5,8.0,0,57.5,4.81,-12.2,59.5,0
SYN0239,8,55.12,41.11,28.42,2,5.0,0,31.79,6.68,-12.79,29.41,1
SYN0240,2,60.97,47.16,39.78,4,0.0,1,45.3,3.97,10.65,46.77,0
SYN0241,6,64.01,60.97,25.93,3,7.0,0,46.62,14.99,-16.42,49.16,0
SYN0242,6,67.11,28.1,33.81,3,7.0,0,40.29,13.4,-13.59,47.75,0
SYN0243,6,60.59,15.31,30.11,2,0.0,0,33.58,16.52,6.98,42.28,0
SYN0244,2,34.78,32.68,27.02,2,0.0,0,27.89,3.61,0.52,26.32,1
SYN0245,5,85.0,72.79,76.6,9,8.0,0,69.5,7.5,-13.06,65.35,0
SYN0246,8,49.87,46.74,41.89,5,6.0,0,37.25,10.18,-20.44,31.6,1
SYN0247,3,38.01,46.4,42.42,3,6.0,1,45.25,2.01,-10.89,45.92,0
SYN0248,6,80.73,65.99,72.03,8,7.0,0,72.68,5.74,10.15,75.61,0
SYN0249,8,86.76,85.19,92.36,7,9.0,0,86.29,4.57,-1.11,84.31,0
SYN0250,8,56.31,51.25,26.37,3,6.0,1,33.49,12.64,-29.63,29.23,1
SYN0251,5,76.49,50.51,45.87,6,0.0,0,51.14,4.59,17.14,53.5,0
SYN0252,4,71.65,65.11,66.31,7,7.0,0,57.03,12.28,-16.06,50.09,0
SYN0253,6,79.0,71.52,82.19,7,8.0,0,80.34,6.58,8.37,83.13,0
SYN0254,5,59.52,37.11,24.4,6,0.0,0,46.1,22.32,46.01,58.38,0
SYN0255,6,77.19,56.82,44.31,3,0.0,1,51.49,5.27,21.9,52.22,0
SYN0256,7,69.6,60.77,73.32,5,6.0,0,67.5,5.17,13.73,67.86,0
SYN0257,6,66.63,56.39,60.41,7,8.0,0,55.7,4.15,-18.67,53.55,0
SYN0258,3,71.41,63.32,48.54,7,6.0,0,45.1,16.45,-14.06,36.44,1
SYN0259,7,66.91,26.41,46.51,6,6.0,0,38.33,8.62,-17.72,39.82,1
SYN0260,5,61.83,24.82,31.78,4,6.0,0,25.8,4.54,-32.77,23.8,1
SYN0261,8,67.7,38.04,50.99,2,0.0,0,39.62,8.71,5.91,35.71,1
SYN0262,6,73.84,46.01,44.75,3,6.0,0,53.82,11.94,2.36,60.57,0
SYN0263,8,63.4,51.88,52.25,6,6.0,0,53.99,2.72,-3.71,55.53,0
SYN0264,8,64.42,31.8,45.39,4,5.0,0,42.32,7.65,4.47,45.3,0
SYN0265,8,73.31,46.88,47.75,5,6.0,0,49.25,2.77,-7.43,50.81,0
SYN0266,7,69.89,53.31,66.69,7,5.0,0,60.47,5.5,19.91,60.84,0
SYN0267,6,57.85,78.27,83.97,6,8.0,0,76.05,7.54,1.64,71.99,0
SYN0268,2,80.13,73.59,34.41,7,6.0,0,54.44,16.01,-1.38,54.78,0
SYN0269,4,67.69,48.59,54.42,6,8.0,0,54.02,4.27,-23.83,56.02,0
SYN0270,5,61.1,48.56,41.94,7,5.0,0,46.49,3.22,6.63,47.47,0
SYN0271,7,61.93,33.78,49.15,5,6.0,0,40.44,6.44,-14.27,39.62,1
SYN0272,6,83.74,36.16,54.1,6,7.0,0,42.42,8.27,-25.09,40.26,0
SYN0273,5,48.76,50.1,57.67,7,5.0,0,44.13,14.14,-12.35,36.33,1
SYN0274,3,78.6,62.32,85.0,7,6.0,0,73.51,9.26,14.58,73.39,0
SYN0275,7,78.36,66.46,68.78,10,9.0,0,68.78,1.9,-11.71,69.72,0
SYN0276,5,87.46,39.9,66.77,7,7.0,0,48.69,12.78,-19.06,44.98,0
SYN0277,2,64.91,37.25,16.58,5,0.0,0,31.91,11.01,3.39,35.9,1
SYN0278,3,65.64,43.01,56.23,5,0.0,1,46.03,7.41,8.74,43.16,0
SYN0279,8,72.43,67.3,66.81,10,7.0,0,57.29,13.81,-15.49,49.48,0
SYN0280,2,62.96,58.9,64.89,7,8.0,0,55.51,9.35,-28.59,50.41,0
SYN0281,4,79.32,43.6,41.87,4,7.0,0,49.35,9.37,-8.44,54.63,0
SYN0282,5,52.68,44.0,23.02,5,6.0,1,34.2,8.62,-17.6,34.76,1
SYN0283,2,84.88,53.1,61.55,6,7.0,0,54.09,5.73,-10.24,51.51,0
SYN0284,3,73.34,62.89,54.84,6,7.0,0,58.91,3.29,-1.99,58.95,0
SYN0285,8,61.25,41.43,41.87,2,0.0,0,44.92,4.63,26.27,47.54,0
SYN0286,6,66.82,33.91,57.33,6,5.0,0,49.06,10.73,5.06,51.81,0
SYN0287,3,80.04,51.57,33.63,5,6.0,0,46.21,8.93,-2.91,49.09,0
SYN0288,3,78.11,56.36,61.56,6,7.0,0,54.65,6.45,-10.22,51.21,0
SYN0289,4,52.68,55.52,47.35,5,6.0,0,47.56,6.42,-9.88,44.46,0
SYN0290,7,49.0,49.8,46.98,8,8.0,0,51.04,3.92,-17.49,53.16,0
SYN0291,7,76.7,65.1,31.5,8,6.0,0,49.2,13.78,-9.12,49.93,0
SYN0292,3,82.58,63.74,57.42,6,8.0,0,60.89,2.62,-14.17,61.14,0
SYN0293,7,76.42,63.76,39.05,8,7.0,0,57.89,13.64,-3.45,63.08,0
SYN0294,8,30.0,35.06,30.74,1,6.0,2,32.38,1.91,-22.14,31.97,1
SYN0295,3,68.73,69.26,31.42,7,5.0,0,50.19,15.45,7.51,50.07,0
SYN0296,2,80.51,73.5,52.72,5,5.0,0,63.35,8.49,22.04,63.54,0
SYN0297,8,89.56,42.76,52.07,5,0.0,0,53.73,9.71,20.13,58.79,0
